3140,"Babyfood, fruit dessert, mango with tapioca",70,0.3,19
43585,"Babyfood, fruit supreme dessert",73,0.5,17.18
3165,"Babyfood, fruit, apple and blueberry, junior",62,0.2,16.6
3164,"Babyfood, fruit, apple and blueberry, strained",61,0.2,16.3
3153,"Babyfood, fruit, apple and raspberry, junior",58,0.2,15.4
3152,"Babyfood, fruit, apple and raspberry, strained",58,0.2,15.6
3143,"Babyfood, fruit, applesauce and apricots, junior",47,0.2,12.4
3142,"Babyfood, fruit, applesauce and apricots, strained",44,0.2,11.64
3145,"Babyfood, fruit, applesauce and cherries, junior",51,0,14.1
3144,"Babyfood, fruit, applesauce and cherries, strained",51,0,14.1
3151,"Babyfood, fruit, applesauce and pineapple, junior",39,0.1,10.5
3150,"Babyfood, fruit, applesauce and pineapple, strained",37,0.1,10.1
3147,"Babyfood, fruit, applesauce with banana, junior",66,0.37,16.16
3117,"Babyfood, fruit, applesauce, junior",37,0,10.3
3116,"Babyfood, fruit, applesauce, strained",41,0.2,10.8
3128,"Babyfood, fruit, apricot with tapioca, junior",63,0.3,17.3
3118,"Babyfood, fruit, apricot with tapioca, strained",60,0.3,16.3
3994,"Babyfood, fruit, banana and strawberry, junior",109,0.71,25.78
3156,"Babyfood, fruit, bananas and pineapple with tapioca, junior",68,0.2,18.4
3157,"Babyfood, fruit, bananas and pineapple with tapioca, strained",65,0.2,17.8
3163,"Babyfood, fruit, bananas with apples and pears, strained",83,0.9,19.31
3280,"Babyfood, fruit, bananas with tapioca, junior",67,0.4,17.8
3129,"Babyfood, fruit, bananas with tapioca, strained",56,0.4,15.3
3160,"Babyfood, fruit, guava and papaya with tapioca, strained",63,0.2,17
3162,"Babyfood, fruit, papaya and applesauce with tapioca, strained",70,0.2,18.9
3131,"Babyfood, fruit, peaches, junior",65,0.94,14.48
3130,"Babyfood, fruit, peaches, strained",65,0.94,14.48
3159,"Babyfood, fruit, pears and pineapple, junior",44,0.3,11.4
3158,"Babyfood, fruit, pears and pineapple, strained",41,0.3,10.9
3133,"Babyfood, fruit, pears, junior",44,0.3,11.6
3132,"Babyfood, fruit, pears, strained",42,0.3,10.8
3135,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",74,0.1,20.5
3134,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",71,0.1,19.7
3137,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",70,0.6,18.7
3136,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",69,0.6,18.5
43007,"Babyfood, fruit, tutti frutti, junior",69,0.4,16
43006,"Babyfood, fruit, tutti frutti, strained",66,0.4,15.48
42286,"Babyfood, green beans and turkey, strained",51,4.1,5.35
3093,"Babyfood, green beans, dices, toddler",29,1.2,5.7
3001,"Babyfood, juice treats, fruit medley, toddler",347,0,86.68
3166,"Babyfood, juice, apple",47,0,11.7
43535,"Babyfood, juice, apple - cherry",47,0.2,11.2
3268,"Babyfood, juice, apple and cherry",41,0.1,9.9
3265,"Babyfood, juice, apple and grape",46,0.1,11.34
3168,"Babyfood, juice, apple and peach",43,0.2,10.5
3170,"Babyfood, juice, apple and plum",49,0.1,12.3
3171,"Babyfood, juice, apple and prune",72,0.2,18.1
3269,"Babyfood, juice, apple, with calcium",46,0.06,11.1
42266,"Babyfood, juice, apple-sweet potato",48,0.3,11.4
3267,"Babyfood, juice, fruit punch, with calcium",52,0.2,12.7
3179,"Babyfood, juice, mixed fruit",47,0.1,11.7
3172,"Babyfood, juice, orange",45,0.6,10.2
3173,"Babyfood, juice, orange and apple",43,0.4,10.1
3174,"Babyfood, juice, orange and apple and banana",47,0.4,11.5
3175,"Babyfood, juice, orange and apricot",46,0.8,10.9
3176,"Babyfood, juice, orange and banana",50,0.7,11.9
